,genre,occurances
1171,tempe indie,7
1172,singaporean mandopop,7
1173,nintendocore,7
1174,nordic classical piano,7
1175,neo-trad metal,7
1176,danish classical,7
1177,stomp pop,7
1178,bounce,7
1179,canadian soundtrack,7
1180,french baroque,7
1181,deep uplifting trance,7
1182,deep new wave,7
1183,rock nacional brasileiro,7
1184,french reggae,7
1185,desi hip hop,7
1186,acoustic rock,7
1187,psychedelic pop,7
1188,adoracion,7
1189,rave,7
1190,pop violin,7
1191,afghan pop,7
1192,alberta country,7
1193,sacramento indie,7
1194,garage punk,7
1195,popping,7
1196,progressive jazz fusion,7
1197,asian american hip hop,7
1198,melbourne bounce,7
1199,minimal techno,7
1200,eurobeat,7
1201,gabba,7
1202,russian orchestra,7
1203,folklore argentino,7
1204,vintage spanish pop,7
1205,vintage swedish pop,7
1206,melodic deathcore,7
1207,vintage swing,7
1208,funky tech house,7
1209,modern alternative pop,7
1210,lebanese pop,7
1211,rap cristiano,7
1212,deep east coast hip hop,7
1213,pop folk,7
1214,early synthpop,7
1215,psychedelic trance,7
1216,early music choir,7
1217,electro latino,7
1218,dutch house,7
1219,german jazz,7
1220,minneapolis indie,6
1221,one-person band,6
1222,funk carioca,6
1223,dutch edm,6
1224,indie hip hop,6
1225,british contemporary classical,6
1226,trap argentino,6
1227,british alternative rock,6
1228,smooth soul,6
1229,early american folk,6
1230,visual kei,6
1231,electro jazz,6
1232,virginia hip hop,6
1233,retro metal,6
1234,truck-driving country,6
1235,afroswing,6
1236,eau claire indie,6
1237,bhangra,6
1238,easycore,6
1239,jazz flute,6
1240,vocaloid,6
1241,thai pop,6
1242,classic hardstyle,6
1243,oakland indie,6
1244,technical thrash,6
1245,english baroque,6
1246,classic russian pop,6
1247,new jersey punk,6
1248,american choir,6
1249,manila sound,6
1250,mexican classic rock,6
1251,nl folk,6
1252,traditional ska,6
1253,traditional soul,6
1254,bouzouki,6
1255,teen pop,6
1256,stomp and flutter,6
1257,horrorcore,6
1258,classical trumpet,6
1259,entehno,6
1260,toronto indie,6
1261,tone,6
1262,organic house,6
1263,okinawan pop,6
1264,french indietronica,6
1265,transpop,6
1266,boston hardcore,6
1267,progressive metalcore,6
1268,malian blues,6
1269,turkish pop,6
1270,latin viral pop,6
1271,russian folk,6
1272,baltimore indie,6
1273,filthstep,6
1274,lds youth,6
1275,musica costena,6
1276,irish classical,6
1277,san diego indie,6
1278,yugoslav rock,6
1279,bahamian folk,6
1280,korean classical performance,6
1281,san diego rap,6
1282,industrial hip hop,6
1283,finnish metal,6
1284,instrumental surf,6
1285,ukrainian classical piano,6
1286,australian indie folk,6
1287,polyphony,6
1288,german power metal,6
1289,vancouver punk,6
1290,venezuelan rock,6
1291,austro-german modernism,6
1292,australian metalcore,6
1293,glitch,6
1294,austrian classical piano,6
1295,modern salsa,6
1296,schlager,6
